index,unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,date,year,VIN (1-10),County,City,State,Postal Code,EV_year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,no_vehicle,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
0,216498,386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2013,2013-06-01T00:00:00,34.64,2013-06-01,2013,5YJ3E1EB2J,Suffolk,Suffolk,VA,23435.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,,476647986,POINT (-76.42443 36.8752),,51800075203.0
1,216499,386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2014,2014-06-01T00:00:00,33.22,2014-06-01,2014,5YJ3E1ECXL,Yakima,Yakima,WA,98908.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,14.0,103490145,POINT (-120.56916 46.58514),PACIFICORP,53077000401.0
2,219969,386,Ozone (O3),Mean,ppb,Borough,1,Bronx,Summer 2013,2013-06-01T00:00:00,31.25,2013-06-01,2013,WA1LAAGE7M,Yakima,Yakima,WA,98908.0,2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,222,0,14.0,144941534,POINT (-120.56916 46.58514),PACIFICORP,53077002801.0
3,219970,386,Ozone (O3),Mean,ppb,Borough,1,Bronx,Summer 2014,2014-06-01T00:00:00,31.15,2014-06-01,2014,5YJ3E1EA1K,Danville,Danville,VA,24541.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,,168513922,POINT (-79.4172 36.58598),,51590001100.0
4,164876,383,Sulfur Dioxide (SO2),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Winter 2008-09,2008-12-01T00:00:00,5.89,2008-12-01,2008,1FADP5CU9E,Norfolk,Norfolk,VA,23518.0,2014,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,,150749378,POINT (-76.21549 36.92478),,51710006502.0
5,164877,383,Sulfur Dioxide (SO2),Mean,ppb,CD,212,Williamsbridge and Baychester (CD12),Winter 2008-09,2008-12-01T00:00:00,5.75,2008-12-01,2008,1N4AZ0CP1F,Thurston,Olympia,WA,98502.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,22.0,226741833,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600.0
6,219971,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2009,2009-06-01T00:00:00,26.27,2009-06-01,2009,1G1RH6E48D,Thurston,Tenino,WA,98589.0,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,20.0,183558777,POINT (-122.85135 46.85752),PUGET SOUND ENERGY INC,53067012610.0
7,219972,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2010,2010-06-01T00:00:00,33.83,2010-06-01,2010,5YJSA1E13G,Snohomish,Bothell,WA,98021.0,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,1.0,135989157,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051937.0
8,164878,383,Sulfur Dioxide (SO2),Mean,ppb,CD,301,Greenpoint and Williamsburg (CD1),Winter 2008-09,2008-12-01T00:00:00,4.33,2008-12-01,2008,1N4AZ1CP0J,King,Seattle,WA,98112.0,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,43.0,349862502,POINT (-122.30716 47.62687),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006400.0
9,164879,383,Sulfur Dioxide (SO2),Mean,ppb,CD,302,Fort Greene and Brooklyn Heights (CD2),Winter 2008-09,2008-12-01T00:00:00,4.41,2008-12-01,2008,5YJ3E1EB0J,Kittitas,Cle Elum,WA,98922.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,13.0,473459815,POINT (-120.93943 47.195),PUGET SOUND ENERGY INC,53037975101.0
10,164880,383,Sulfur Dioxide (SO2),Mean,ppb,CD,303,Bedford Stuyvesant (CD3),Winter 2008-09,2008-12-01T00:00:00,4.73,2008-12-01,2008,5YJXCBE28G,Snohomish,Snohomish,WA,98296.0,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,1.0,208620772,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,53061052112.0
11,164881,383,Sulfur Dioxide (SO2),Mean,ppb,CD,304,Bushwick (CD4),Winter 2008-09,2008-12-01T00:00:00,4.71,2008-12-01,2008,1G1FW6S0XJ,Chelan,Leavenworth,WA,98826.0,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,12.0,122982548,POINT (-120.65754 47.5982),PUD NO 1 OF CHELAN COUNTY,53007960201.0
12,164882,383,Sulfur Dioxide (SO2),Mean,ppb,CD,305,East New York and Starrett City (CD5),Winter 2008-09,2008-12-01T00:00:00,3.78,2008-12-01,2008,KNDCE3LG9L,King,Kirkland,WA,98033.0,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,48.0,153982097,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022702.0
13,164883,383,Sulfur Dioxide (SO2),Mean,ppb,CD,306,Park Slope and Carroll Gardens (CD6),Winter 2008-09,2008-12-01T00:00:00,3.94,2008-12-01,2008,1N4AZ1CP0J,Kitsap,Port Orchard,WA,98366.0,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,26.0,192769097,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,53035092600.0
14,164884,383,Sulfur Dioxide (SO2),Mean,ppb,CD,307,Sunset Park (CD7),Winter 2008-09,2008-12-01T00:00:00,3.78,2008-12-01,2008,5YJ3E1EA8K,Snohomish,Lake Stevens,WA,98258.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,44.0,476748793,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052604.0
15,164885,383,Sulfur Dioxide (SO2),Mean,ppb,CD,308,Crown Heights and Prospect Heights (CD8),Winter 2008-09,2008-12-01T00:00:00,4.79,2008-12-01,2008,1N4AZ0CP8D,Snohomish,Lake Stevens,WA,98258.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,44.0,120397357,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052506.0
16,219973,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2011,2011-06-01T00:00:00,33.19,2011-06-01,2011,5YJ3E1EB6J,Skagit,Mount Vernon,WA,98274.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,10.0,168971449,POINT (-122.32267 48.41626),PUGET SOUND ENERGY INC,53057951200.0
17,219974,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2012,2012-06-01T00:00:00,33.89,2012-06-01,2012,3C3CFFGE5H,Snohomish,Bothell,WA,98012.0,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,1.0,123235990,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052107.0
18,219975,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2013,2013-06-01T00:00:00,31.13,2013-06-01,2013,1N4AZ0CP0F,DeKalb,Decatur,GA,30030.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,,133085886,POINT (-84.29658 33.77437),,13089022700.0
19,219976,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2014,2014-06-01T00:00:00,31.29,2014-06-01,2014,5YJ3E1EA2K,Grant,Moses Lake,WA,98837.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,13.0,171036680,POINT (-119.2771 47.13196),PUD NO 2 OF GRANT COUNTY,53025011001.0
